Aggregation analysis,PioViewer 1.10.24.3
File, C:\Users\benit\OneDrive\Solves\BB vs BB SRP\BU vs BB SRP 33%\Bu vs BB SRP 33% 3s3h3d.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 18 Freq,BET 18 EV,CHECK Freq,CHECK EV
Td 5h 2s,100,47.12,21.6166,83.4071,52.88,33.3833,114.787,76.13,35.64,23.87,26.19
Td 7h 7c,100,45.46,20.7182,82.8575,54.54,34.2818,114.29,71.58,36.56,28.42,28.55
Td 8d 7d,100,47.71,23.7852,90.6375,52.29,31.2148,108.544,43.25,35.94,56.75,27.62
Td 8h 7d,100,47.26,23.091,88.8333,52.74,31.909,110.007,49.16,36.98,50.84,27.01
Td 8h 7s,100,46.85,22.5787,87.6264,53.15,32.4212,110.907,55.20,36.61,44.80,27.26
Td 9d 4d,100,47.18,22.857,88.0923,52.82,32.143,110.635,46.59,36.42,53.41,28.41
Td 9d 4h,100,46.90,21.6994,84.1274,53.10,33.3007,114.018,64.55,36.92,35.45,26.71
Td 9s 4h,100,46.47,20.6337,80.7379,53.53,34.3663,116.719,83.22,35.80,16.78,27.26
Ts Th 6d,100,45.46,20.671,82.6828,54.54,34.3289,114.431,79.07,35.96,20.93,28.17
Ts Th 6h,100,45.88,21.3635,84.6633,54.12,33.6365,113.001,71.52,35.85,28.48,28.08
  ,100,46.77,22.1332,86.0363,53.23,32.8668,112.271,60.10,36.28,39.90,27.72
